Date,Sentiment Score,Source
2024-12-28,72,
2024-12-29,73,
2024-12-30,65,
2024-12-31,64,
2025-01-01,66,
2025-01-02,70,
2025-01-03,74,
2025-01-04,73,
2025-01-05,72,
2025-01-06,76,
2025-01-07,78,
2025-01-08,70,
2025-01-09,69,
2025-01-10,50,
2025-01-11,69,
2025-01-12,62,
2025-01-13,61,
2025-01-14,63,
2025-01-15,70,
2025-01-16,75,
2025-01-17,75,
2025-01-18,77,
2025-01-19,77,
2025-01-20,76,
2025-01-21,76,
2025-01-22,84,
2025-01-23,75,
2025-01-24,75,
2025-01-25,75,
2025-01-26,73,
2025-01-27,71,
2025-01-28,72,
2025-01-29,72,
2025-01-30,70,
2025-01-31,76,
2025-02-01,68,
2025-02-02,60,
2025-02-03,44,
2025-02-04,72,
2025-02-05,54,
2025-02-06,49,
2025-02-07,44,
2025-02-08,44,
2025-02-09,46,
2025-02-10,43,
2025-02-11,47,
2025-02-12,51,custom_calculation
2025-02-13,50,custom_calculation
2025-02-15,51,custom_calculation
